feature,importance_gain,importance_split
Visa_status,56643.00303995609,56
msaldo_total_pesos,29072.244299054146,122
ctrx_quarter,23082.642540454865,100
ctrx_30d,20537.681710481644,63
mcaja_ahorro,15526.205226421356,88
ctrx_60d,14128.005108118057,40
cextraccion_autoservicio,6402.497817516327,17
mprestamos_personales,6081.49697291851,115
Visa_fechaalta_delta_mean_4,5895.662263393402,6
cdias_mora_promedio,5854.5680911540985,39
cdias_mora_promedio_delta_mean_8,5250.509300947189,16
Visa_mpagospesos,4117.940505743027,61
TC_Total_mpagospesos,4071.888939142227,43
mcuentas_saldo,3488.6234917640686,78
msaldo_total,3215.500238418579,57
mtarjeta_visa_consumo,3122.920503258705,36
ctarjeta_visa_transacciones,2685.8386600017548,31
mpayroll,2363.70117521286,42
msaldo_vs_movimientos_ratio,2213.6101454496384,92
cprestamos_personales,2137.1990925073624,54
cdescubierto_preacordado,2132.99902009964,36
mmargen_por_cuenta_ratio,2114.124246954918,37
cactividad_total,2040.0095114707947,35
Visa_mpagominimo,2039.4456131458282,77
Visa_status_delta_mean_8,1837.1383647918701,25
ccaja_seguridad,1725.5417594909668,41
mcuenta_corriente,1685.1672023534775,107
Visa_mfinanciacion_limite,1659.1075835227966,78
ctrx_quarter_delta_mean_4,1657.4095690250397,62
ctrx_quarter_delta_mean_8,1533.9958410263062,65
ccaja_ahorro,1528.0629551410675,45
mpasivos_margen,1426.6145243644714,68
mactivos_margen,1405.981563091278,70
cdescubierto_preacordado_delta_mean_4,1375.8497014045715,10
cliente_edad,1369.6117490530014,150
cproductos,1368.0945799350739,43
TC_Total_msaldopesos,1365.8415150642395,36
tes_empleado,1274.335485458374,15
Visa_msaldopesos,1108.7781929969788,56
Visa_fechaalta,1106.2809014320374,113
TC_Total_fechaalta,1100.1838748455048,103
TC_Total_mpagominimo,1062.7175784111023,50
TC_Total_msaldototal,1060.1879165172577,38
ctarjeta_visa_debitos_automaticos_delta_mean_8,1040.58940076828,45
mrentabilidad,1029.9122996330261,61
ccaja_ahorro_delta_mean_4,1023.3239359855652,18
mingresos_mensuales,1013.3654044866562,44
cpayroll_trx,1005.1308922767639,22
numero_de_cliente,986.3881213665009,127
cuso_tarjeta_ratio,960.9793553352356,52
Visa_status_delta_mean_4,931.4657330513,15
Visa_Finiciomora_delta_mean_8,918.614095211029,10
cliente_antiguedad,874.8803983926773,117
cproductos_delta_mean_8,871.9262626171112,42
Master_Fvencimiento,869.8270000219345,124
mrentabilidad_annual,846.5547689199448,86
Visa_Finiciomora_delta_2,822.1128392219543,7
mpagomiscuentas,814.6201465129852,35
Master_mfinanciacion_limite,773.3545832633972,87
mmargen_total,763.724044084549,48
mrentabilidad_vs_margen,763.4769511222839,72
TC_Total_Fvencimiento,756.6910381317139,90
Visa_Fvencimiento,746.1975982189178,120
mingresos_por_producto_ratio,745.032007932663,28
mingresos_vs_saldo_ratio,742.752589225769,22
cproductos_delta_mean_4,742.031943321228,33
Master_fechaalta,724.8034083843231,91
Visa_delinquency,720.6273899078369,5
Visa_mpagado,706.1121582984924,12
mrentabilidad_media_mensual,690.7921124696732,85
mcomisiones_ratio,675.8609706163406,69
Master_status,667.697380065918,8
ctarjeta_visa_debitos_automaticos_delta_mean_4,666.12579870224,29
TC_Total_status,653.0160632133484,13
slope_mcuenta_corriente_6_window,650.7538921833038,84
Visa_Finiciomora,649.8248660564423,17
mcuenta_debitos_automaticos,643.409893989563,40
ccanales_activos,615.3617374897003,32
TC_Total_cconsumos,597.8893682956696,26
cdias_mora_promedio_delta_mean_4,567.4962402582169,7
muso_credito_ratio,563.3989026546478,34
cprestamos_personales_delta_mean_4,562.9824104309082,16
mcomisiones_mantenimiento,550.7512601613998,52
ctrx_60d_delta_mean_8,548.7307076454163,22
mmargen_por_producto,535.8091835975647,49
cprestamos_personales_delta_mean_8,516.2872891426086,26
mlimite_tarjetas_total,511.1928029060364,32
tmora_total,505.67384910583496,7
ccallcenter_transacciones_delta_mean_8,502.7631676197052,45
TC_Total_mlimitecompra,488.8190793991089,51
msaldo_total_dolares,487.09674096107483,59
slope_mprestamos_personales_6_window,463.1823606491089,46
tes_empleado_delta_mean_4,453.4793357849121,8
Visa_cconsumos,448.1747715473175,47
tsin_sueldo_mes,448.16448974609375,5
ccaja_ahorro_delta_mean_8,433.8368034362793,7
ctarjeta_master_delta_mean_4,419.6466522216797,5
TC_Total_mfinanciacion_limite,416.0347397327423,52
cuso_digital_ratio,415.5814788341522,46
talta_mora,404.14599609375,1
slope_msaldo_total_pesos_6_window,402.87768816947937,48
ccomisiones_mantenimiento_delta_mean_8,401.5171980857849,52
cproductos_uso_ratio,395.94934153556824,32
mcomisiones,395.86490058898926,48
TC_Total_delinquency,395.7915668487549,9
slope_Visa_mfinanciacion_limite_6_window,394.98611056804657,40
slope_mextracciones_ratio_6_window,385.5280792713165,46
TC_Total_mconsumospesos,385.3643116950989,19
slope_mcuentas_saldo_6_window,382.69770193099976,52
slope_msaldo_total_dolares_6_window,374.1356010437012,46
slope_mrentabilidad_vs_margen_6_window,372.0655299425125,57
mextraccion_autoservicio,369.98757004737854,29
mtarjeta_master_consumo,368.372496843338,22
mflujo_netotransf,366.5337393283844,37
ctarjeta_visa_transacciones_delta_mean_8,365.751179933548,25
slope_mflujo_netotransf_6_window,365.6484696865082,46
Master_msaldopesos,363.21346282958984,31
slope_mingresos_vs_saldo_ratio_6_window,362.73795223236084,26
chomebanking_transacciones,359.0964159965515,33
cprestamos_personales_delta_2,357.53366231918335,11
slope_Visa_msaldopesos_6_window,355.9719989299774,37
slope_msaldo_vs_movimientos_ratio_6_window,353.4240118265152,46
Visa_mconsumospesos,353.0251233577728,49
tsin_sueldo_mes_delta_mean_8,351.5392601490021,13
slope_mcomisiones_6_window,347.1775097846985,41
slope_mtransferencias_emitidas_6_window,346.709050655365,44
mcomisiones_otras,346.57595133781433,47
ctrx_quarter_delta_2,343.041002035141,35
tsin_sueldo_mes_delta_mean_4,341.119309425354,9
cdescubierto_preacordado_delta_mean_8,339.9582597017288,21
mcaja_ahorro_dolares,333.57638812065125,41
slope_mcomisiones_mantenimiento_6_window,332.58048963546753,48
Master_mlimitecompra,331.4703297615051,39
ctrx_120d,326.5954110622406,38
Master_msaldototal,323.0711109638214,35
slope_mactivos_margen_6_window,320.8090499639511,53
slope_Master_mconsumospesos_6_window,316.6864501237869,46
Visa_mlimitecompra,314.4069889783859,40
mdeuda_tarjetas_total,312.4349408149719,20
mextracciones_ratio,307.69881069660187,44
tes_empleado_delta_mean_8,307.1686716079712,12
ctrx_30d_delta_mean_4,302.73857021331787,25
Visa_cconsumos_delta_mean_8,302.43734097480774,41
ctarjeta_visa_delta_mean_8,300.0164375305176,13
slope_mrentabilidad_media_mensual_6_window,299.89030933380127,39
ctrx_quarter_delta_3,296.57852125167847,28
Visa_msaldototal,294.9006893634796,17
slope_Visa_mconsumosdolares_6_window,293.75867986679077,35
Visa_fultimo_cierre,292.33696806430817,45
ccallcenter_transacciones_delta_mean_4,291.5108497142792,39
slope_mrentabilidad_annual_6_window,291.1199314594269,28
slope_Visa_fechaalta_6_window,289.73790097236633,39
ccomisiones_mantenimiento_delta_mean_4,289.0997598171234,24
Master_mpagominimo,288.28101658821106,27
mtransferencias_emitidas,278.80265712738037,27
ccaja_ahorro_delta_2,275.5650978088379,6
mcheques_emitidos_rechazados,274.5574469566345,13
cactividad_total_delta_mean_4,271.0667507648468,27
