feature,importance_gain,importance_split
Visa_status,20012.662002921104,34
cdescubierto_preacordado,12498.325016379356,51
msaldo_total_pesos,9680.392364919186,178
msaldo_total,6841.892034709454,157
mcaja_ahorro,5067.448721885681,129
ctarjeta_visa,5032.884231925011,18
mcuenta_corriente,4842.276246786118,183
mprestamos_personales,4403.288058578968,233
mcuentas_saldo,4120.331487059593,168
cuso_tarjeta_ratio,3714.6740616559982,121
cdias_mora_promedio,3288.5547471642494,70
TC_Total_mfinanciacion_limite,3235.093716979027,127
msaldo_vs_movimientos_ratio,2990.911082148552,167
Visa_Finiciomora,2932.8535695672035,35
ctrx_quarter,2757.6980889439583,198
mtarjeta_visa_consumo,2683.5971081256866,51
ctarjeta_visa_transacciones,2477.064256131649,86
mpasivos_margen,2249.228860139847,175
mactivos_margen,2069.0292657613754,190
TC_Total_mpagospesos,1651.8777137994766,79
mrentabilidad_vs_margen,1634.7511518001556,150
cprestamos_personales,1626.2657693624496,103
TC_Total_status,1608.945413351059,23
TC_Total_msaldototal,1586.9892743825912,75
numero_de_cliente,1573.0313680768013,277
cliente_edad,1562.0897812247276,280
cproductos,1498.3767992854118,130
cliente_antiguedad,1333.7521113157272,233
ccaja_ahorro,1331.9832293987274,72
Visa_Fvencimiento,1296.7752259969711,252
Visa_fechaalta,1293.1428869962692,194
mautoservicio,1278.0529432296753,68
mpayroll,1265.482033610344,77
TC_Total_Fvencimiento,1259.1525382995605,246
mrentabilidad_annual,1235.6957682967186,230
Visa_mpagospesos,1214.9590292572975,161
mrentabilidad,1186.8563339710236,115
Visa_mpagominimo,1155.8168120980263,127
mrentabilidad_media_mensual,1131.7560855150223,200
mcomisiones_mantenimiento,1113.9017816781998,129
mmargen_total,1059.7733880281448,113
Visa_msaldopesos,1052.9364942908287,96
TC_Total_mpagominimo,1040.5783133506775,83
tmora_total,995.9658646583557,11
Master_fechaalta,967.9799958467484,190
TC_Total_fechaalta,946.6885406374931,181
Visa_mfinanciacion_limite,941.3951963186264,151
Master_Fvencimiento,918.8571786284447,188
mmargen_por_producto,857.4196970462799,113
mextracciones_ratio,850.2684070467949,86
TC_Total_mlimitecompra,821.6474289894104,133
mcomisiones,777.0855539441109,133
mingresos_mensuales,774.3188250660896,61
mmargen_por_cuenta_ratio,761.190064907074,77
mcomisiones_ratio,741.7556163668633,124
ccallcenter_transacciones,724.9846587181091,70
Master_mfinanciacion_limite,714.3003210425377,143
talta_mora,673.009599685669,8
ccanales_activos,667.1556277275085,58
mdeuda_tarjetas_total,655.7877804040909,40
TC_Total_msaldopesos,631.3300915360451,76
Master_Finiciomora,627.4779294729233,27
TC_Total_delinquency,598.8256434202194,11
mcuenta_debitos_automaticos,586.2748940587044,101
Visa_fultimo_cierre,575.0192974805832,121
msaldo_total_dolares,568.8140704631805,99
Visa_mconsumospesos,568.6600289344788,107
foto_mes,568.2524040937424,103
mingresos_por_producto_ratio,562.8865746259689,56
mcomisiones_otras,557.0482111573219,97
mflujo_netotransf,554.9224183559418,104
cactividad_total,519.5754610300064,74
Visa_mlimitecompra,511.07985162734985,94
muso_credito_ratio,505.7557962536812,81
Master_msaldopesos,503.30886828899384,83
cuso_digital_ratio,495.1022801399231,89
Visa_mconsumosdolares,465.4617577791214,88
ccomisiones_mantenimiento,447.76751255989075,27
Visa_cconsumos,444.2743325829506,82
Master_mpagominimo,431.3200933933258,77
mtarjeta_master_consumo,402.9167312383652,42
chomebanking_transacciones,402.27312076091766,79
Master_mlimitecompra,396.5755692720413,78
ctarjeta_master_transacciones,395.4852882027626,52
cproductos_uso_ratio,380.8172530531883,73
ccaja_seguridad,379.6672347187996,39
mlimite_tarjetas_total,378.9231585264206,72
Visa_mconsumototal,374.87501060962677,65
mcaja_ahorro_dolares,364.23535096645355,74
ccajas_consultas,360.7770478129387,59
Master_mconsumospesos,324.6197898387909,65
Visa_msaldodolares,320.90979385375977,37
mprestamos_prendarios,316.76999282836914,55
mpagomiscuentas,313.2431797981262,59
cpayroll_trx,311.94803953170776,17
mextraccion_autoservicio,308.24473345279694,67
Master_fultimo_cierre,308.1616553068161,66
mttarjeta_visa_debitos_automaticos,306.2824764251709,76
TC_Total_cconsumos,291.9417796134949,49
active_quarter,286.0255687236786,8
Visa_msaldototal,283.62648916244507,57
TC_Total_fultimo_cierre,281.9607120156288,71
mtransferencias_emitidas,275.4570881128311,49
TC_Total_mconsumospesos,274.38704216480255,51
Master_mpagospesos,273.8221712112427,59
