feature,importance_gain,importance_split
ctrx_quarter,141306.58582401276,113
Visa_status,86641.35600066185,50
mcuentas_saldo,63230.33652973175,148
cdescubierto_preacordado_delta_3,57456.832978248596,46
mpasivos_margen,52024.465581417084,91
msaldo_total_pesos,29424.224337100983,93
mprestamos_personales,29027.758511304855,106
mtarjeta_visa_consumo,28795.324534893036,37
cactividad_total,28381.426535606384,25
cpayroll_trx,25423.09106349945,31
foto_mes,24230.95668244362,287
mpayroll,21445.63125181198,43
mcaja_ahorro,19011.09822201729,93
ctarjeta_visa_transacciones,18760.964154720306,57
TC_Total_mlimitecompra,13595.418824672699,39
Visa_mpagospesos,11385.61334323883,48
ccomisiones_mantenimiento_delta_mean_8,9762.556333780289,105
tes_empleado,8463.144966125488,13
mmargen_total,7931.808161735535,46
Visa_Finiciomora,7253.013415336609,21
mingresos_mensuales,7097.53185749054,29
TC_Total_mpagospesos,6739.039010047913,37
cdias_mora_promedio_delta_mean_8,6430.43181848526,45
msaldo_vs_movimientos_ratio,6076.80174612999,102
Master_status_delta_2,5543.586645126343,8
cprestamos_personales_delta_3,5486.100254535675,13
Visa_msaldopesos,5472.496255397797,50
cprestamos_personales,5007.335912942886,60
cdias_mora_promedio,4979.1514530181885,35
ccaja_seguridad,4587.8038737773895,46
mcuenta_corriente,4160.125690460205,112
TC_Total_mpagominimo,4015.9185824394226,52
ccomisiones_mantenimiento_delta_2,3914.387613296509,18
TC_Total_msaldopesos,3750.2262868881226,26
Visa_Fvencimiento,3693.5772471427917,92
Visa_fechaalta,3633.1461114883423,101
mactivos_margen,3529.619998216629,114
matm,3466.594500541687,6
cproductos_delta_mean_4,3443.639307975769,36
ctrx_quarter_delta_mean_8,3392.8861479759216,62
ccomisiones_mantenimiento_delta_mean_4,3225.3518352508545,48
Visa_mpagominimo,3168.7563853263855,63
TC_Total_fultimo_cierre,3155.240481376648,31
ccaja_ahorro,3078.0737562179565,43
slope_msaldo_vs_movimientos_ratio_6_window,3023.547622680664,70
cliente_antiguedad_delta_mean_8,2988.954926967621,78
mdeuda_tarjetas_total,2809.3936653137207,29
msaldo_total,2724.547547340393,77
ctarjeta_visa_debitos_automaticos_delta_mean_8,2677.426700115204,58
ctarjeta_visa_transacciones_delta_mean_8,2663.5625405311584,56
mingresos_por_producto_ratio,2641.6808500289917,40
cuso_tarjeta_ratio,2621.0882353782654,39
mcuenta_debitos_automaticos,2560.910026073456,39
TC_Total_msaldototal,2539.1779639720917,29
cliente_edad,2538.2893154621124,148
cprestamos_personales_delta_2,2524.784442424774,8
slope_mprestamos_personales_6_window,2515.372316837311,65
