numero_de_cliente,probabilidad,predict
698013750,0.9781721,1
1348083332,0.97643745,1
254907010,0.97391474,1
1233370816,0.97207797,1
786630854,0.9718674,1
1458151719,0.97136307,1
1358812005,0.9713058,1
345764726,0.9705652,1
1382882160,0.96964055,1
1488905496,0.9684546,1
1135779596,0.96669734,1
1070067212,0.96604365,1
1152785170,0.9648326,1
985463211,0.96441793,1
1113865895,0.9639835,1
1053489572,0.96384096,1
796511591,0.96314186,1
1327182802,0.962002,1
1224868836,0.96171266,1
259309251,0.9593653,1
1216464499,0.9559098,1
973594039,0.95576304,1
990609528,0.9546868,1
640659315,0.9545621,1
661551749,0.95341676,1
311680734,0.9528776,1
1198560681,0.9527825,1
894415665,0.95227087,1
777470119,0.9522577,1
1127869052,0.9521531,1
706621333,0.9521343,1
1323098521,0.9515195,1
808609243,0.9511235,1
961886397,0.9497962,1
552491803,0.94821215,1
687052369,0.9478297,1
1112973262,0.94775933,1
608525679,0.94583344,1
653678763,0.94545573,1
519484867,0.9448018,1
889464941,0.9440943,1
902482861,0.94401705,1
845233653,0.9437357,1
1000849728,0.9432785,1
892102199,0.9429867,1
864867586,0.942696,1
1201785516,0.9416875,1
1250169634,0.94154704,1
273908670,0.9405632,1
1547273547,0.9402592,1
1356773835,0.9401837,1
690003736,0.94013244,1
571851534,0.9400901,1
992045390,0.9399493,1
258808387,0.9397423,1
604559032,0.93907225,1
1202349394,0.93858933,1
823297125,0.93822455,1
478620847,0.9379188,1
1198503149,0.93714416,1
1113578268,0.93517435,1
888232760,0.93507385,1
1235133605,0.93462026,1
270699224,0.93439984,1
456161423,0.9335648,1
1062593134,0.9330965,1
585683751,0.93210226,1
349336325,0.93202746,1
334778486,0.9319853,1
1006693084,0.9318008,1
781851942,0.9311442,1
1161230412,0.9302415,1
1463106088,0.92964315,1
721189607,0.9292829,1
817861209,0.9290072,1
320600734,0.92899734,1
994389411,0.9286652,1
658350101,0.92753446,1
654154538,0.9274799,1
998205972,0.9266804,1
901895430,0.9262753,1
438065957,0.92552346,1
280104990,0.92449075,1
744058434,0.92435855,1
721783084,0.9233414,1
563717249,0.92278814,1
1223440770,0.92274183,1
1000685202,0.92217195,1
306285953,0.9218881,1
278472295,0.921609,1
279850258,0.9214031,1
559271250,0.92038184,1
755448774,0.92031777,1
679809112,0.9200065,1
1169057309,0.91967946,1
710322376,0.91875315,1
1243596721,0.9176353,1
332068803,0.9167397,1
1472402469,0.916062,1
1192098835,0.9160124,1
1044843484,0.9153364,1
1168266999,0.9152916,1
1231095199,0.9151946,1
469710181,0.9148382,1
584174379,0.9143138,1
934566173,0.9141519,1
355539870,0.9139158,1
349489989,0.91319865,1
1469808379,0.91226333,1
1223131931,0.91217715,1
517465374,0.911671,1
457966219,0.91111314,1
488872935,0.9109647,1
620115832,0.91089654,1
560770554,0.9102304,1
266616403,0.91000724,1
341405363,0.9098691,1
650007395,0.9087176,1
787353922,0.90825164,1
1000163117,0.90802824,1
566422987,0.9080255,1
830774260,0.90767634,1
1024450309,0.90701616,1
783944510,0.9069156,1
1131555954,0.9068942,1
315375723,0.90683126,1
960841355,0.90636873,1
636828527,0.9057194,1
635099205,0.90560913,1
282315406,0.9052745,1
559810030,0.904824,1
1179923514,0.9045563,1
1236309706,0.9041361,1
889981843,0.9041228,1
477328581,0.9041202,1
840928986,0.90282875,1
495191407,0.9024856,1
465680374,0.9024325,1
839427641,0.90221375,1
1049679792,0.9013596,1
273019180,0.90117896,1
1249442553,0.90087855,1
563797027,0.9007708,1
1222748992,0.9004851,1
1198583004,0.9003324,1
995661549,0.9002068,1
959344895,0.90014344,1
1440838176,0.8997743,1
330724102,0.8990985,1
662068292,0.89836484,1
674915118,0.89820725,1
576147302,0.89791894,1
603728389,0.89781713,1
983005783,0.8975644,1
296733526,0.89740324,1
1224089969,0.8970274,1
1325996283,0.89692134,1
892527222,0.89689344,1
596633902,0.8968419,1
1070520236,0.8967825,1
894719337,0.89654887,1
1089552153,0.8963148,1
1199448353,0.89585894,1
1010399747,0.89582586,1
306652778,0.89456606,1
638441239,0.8943923,1
1112472330,0.8936594,1
928847010,0.89349383,1
276343562,0.8932424,1
719356587,0.89310837,1
957095162,0.8930765,1
274914992,0.89170665,1
1129172992,0.8911601,1
1291643042,0.8907568,1
825106148,0.89071465,1
964454380,0.8904736,1
614558130,0.8900967,1
779846086,0.8899853,1
1075552710,0.88982934,1
1124826097,0.8897128,1
777072082,0.88941926,1
853067774,0.8892356,1
1211026763,0.8889839,1
513476046,0.888889,1
334868034,0.88884616,1
654555709,0.88866043,1
1326528214,0.8884102,1
1489729137,0.888318,1
1301383539,0.8882457,1
900939355,0.88796824,1
353023962,0.8876618,1
462784371,0.8874179,1
1332194712,0.88674766,1
886267597,0.8866332,1
1094942851,0.88631976,1
439390973,0.8861103,1
1330362572,0.88560414,1
1095641786,0.88548386,1
1234207214,0.8854073,1
901949760,0.88475055,1
615199959,0.8847382,1
681912551,0.88399893,1
1215010037,0.8837759,1
352906984,0.8836512,1
755000054,0.8835987,1
1168793901,0.8835763,1
300318182,0.8830373,1
779012668,0.88301253,1
846972966,0.8826335,1
1207471134,0.88261664,1
951539074,0.8825681,1
804186438,0.88238233,1
458336545,0.88220143,1
812986404,0.88202447,1
685885466,0.8818242,1
842621263,0.88163424,1
1435505821,0.88153005,1
715237805,0.88130546,1
