trial_number,ganancia,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,num_boost_round
0,219600000.0,67,0.06889372355119326,52,0.3355341378346305,0.3271542616940666,0.4438623787725232,2.8884400465635696,762
1,243600000.0,95,0.05870724345028461,79,0.6019008360660267,0.6906857290733082,2.415107175991482,2.993896044756896,580
2,238000000.0,40,0.0852024452159377,35,0.5582891877416545,0.532904507064953,0.9862611875330302,2.636283751475742,507
3,193600000.0,20,0.02973305578314101,30,0.8158112148671662,0.4305888042891731,0.033374189569515544,1.7386755853975722,619
4,216400000.0,110,0.02223618113528611,59,0.9076188988600932,0.6505755188857388,4.562379923651955,1.096659631762713,782
5,221600000.0,38,0.05856340801968614,77,0.3262109285880776,0.39068169601946,4.332578989043289,1.7588565101197702,437
6,212800000.0,67,0.04378112217429273,77,0.27377032627110187,0.9363109789513413,2.5551609555005723,4.388408646736578,894
7,224800000.0,68,0.04307834337021026,17,0.29164487627837954,0.7014151655170626,0.3400853213909938,0.6431512480992496,572
8,246800000.0,48,0.05607839850426206,20,0.6284844513854454,0.4151476399706674,3.745542951055066,4.89676525969826,267
9,222800000.0,11,0.04661962792689516,43,0.8352765364806987,0.7423509402379682,2.440325411143693,2.231944536434205,771
10,246400000.0,113,0.006281514447082512,5,0.48504201722570417,0.25410687945850075,3.5180129843220156,4.9978356242128035,203
11,243200000.0,144,0.009735019352756225,4,0.5154592178995727,0.2579925920506445,3.664165494185258,4.919192078971646,210
12,246400000.0,125,0.09511651158404673,6,0.6935697673754835,0.4579165278073179,3.4118584266552308,3.954367835192813,246
13,240000000.0,90,0.07317874777855393,20,0.4343365200036869,0.2687507254937615,3.5639666800872916,3.834437909633328,369
14,244800000.0,149,0.030161774532196494,18,0.7053970183258454,0.542203178044739,4.831026049935281,4.9441373119193415,334
15,241600000.0,42,0.005750975138225623,3,0.44284404552487544,0.34866573513610016,2.8816287919505448,3.5712599704163326,307
16,244400000.0,121,0.0718846784978604,27,0.6900947334853396,0.5268068310008245,1.7926151711556626,4.4969664288964095,202
17,247200000.0,53,0.01743971148552388,99,0.47785426743805814,0.8243938531380328,4.104016645467664,3.414702597333531,426
18,241200000.0,54,0.019796709566093928,98,0.39252850663649774,0.8605472191959592,4.455922341703689,3.351729165058188,487
19,239200000.0,82,0.03309337208142563,100,0.6229410408609942,0.7849486691472968,4.100193419727622,0.04781643895931342,412
20,210000000.0,27,0.05494454170083568,64,0.9821423657496482,0.9560380400367535,4.966594570322236,4.19718115851477,322
21,234800000.0,54,0.013965568209974213,13,0.5035692259409148,0.8356745032603581,3.111099186978179,4.974317080073046,269
22,238400000.0,54,0.020501343369110237,41,0.48885695846130983,0.6114660691235617,3.9368048437165135,4.486046187479235,383
23,247600000.0,101,0.037296000321387635,90,0.5600331107367342,0.3203628801747404,3.8942065537454145,3.3983720055666584,285
24,246800000.0,99,0.035168808448235084,92,0.5650761559494334,0.44576326940825334,4.022489782348171,3.4138968477131995,485
25,242400000.0,74,0.03800405276595154,88,0.7893014951903059,0.33395937449818536,1.8270268873366349,2.38972048541599,268
26,247200000.0,87,0.0646294924237032,86,0.6584369595084926,0.5766543759638488,3.224252122366578,3.7731647342412,660
27,243200000.0,80,0.08156398450704572,86,0.7563861911832409,0.5948923076531676,3.028247410299211,3.0128676065350053,648
28,240000000.0,134,0.06615009702551916,69,0.39263142147973473,0.999507244053057,3.27138995657672,3.65800801864337,705
29,248000000.0,104,0.06536081333800976,84,0.6508436949975897,0.8292517818196481,4.185882907272362,3.085254261969175,973
30,247200000.0,99,0.026071224954258627,94,0.5724666590761385,0.8648397997707158,4.700698612679672,3.161374084293751,995
31,246400000.0,106,0.05002291687528738,84,0.657565058292169,0.803271700852801,4.266967381299763,2.6904176953473087,846
32,243600000.0,87,0.06414180846572082,73,0.7520527346059342,0.9019475862197119,3.880838768440607,4.056657553460878,901
33,246800000.0,120,0.07412010314183702,84,0.5502412812842868,0.7311374501033432,2.0285552902812354,3.205279560861592,997
34,246400000.0,93,0.061880221742764384,91,0.6076170483485835,0.6639300837811143,2.7348410822985882,2.792704738687041,549
35,251200000.0,104,0.07969412919375993,55,0.6576851863456665,0.7690874154893332,4.24314704198817,2.2654919765628874,665
36,252800000.0,102,0.08017789214016817,57,0.538393270895526,0.7785904654528869,4.52366043272755,1.9506397160323627,440
37,250800000.0,106,0.08521697254146077,53,0.5491337313465281,0.7498361835446699,4.626870671513248,1.9999061123111805,854
38,244800000.0,111,0.08932951088429134,55,0.6495499672584566,0.7615169237143586,4.574702515479349,2.024035582276612,842
39,212800000.0,116,0.08007536065666776,52,0.8470516973503285,0.6906999136035918,0.9818051476878971,1.4391590654747004,958
40,242400000.0,130,0.09575319367087545,46,0.7424438333182675,0.7182042257928356,4.347342162498873,1.3672725731797724,720
41,250000000.0,104,0.08702320370617624,60,0.5438577164718811,0.7821229120244496,4.763922445752322,1.9922525819436987,934
42,246000000.0,102,0.07859080303072213,59,0.596547670909307,0.7653604099296556,4.729587805210038,1.733464207141808,930
43,244800000.0,108,0.08804194903271843,64,0.5292044591656403,0.9030484403294788,4.428490899944786,2.1050218707765653,831
44,253200000.0,96,0.09087776860554878,49,0.6020092577953706,0.6475169037753448,4.9124854762182775,2.4785650876313365,806
45,239600000.0,95,0.09865427179710004,48,0.4380489965139333,0.6675022177240099,4.884241031128664,2.4992408648902904,803
46,255600000.0,115,0.0910238688258286,37,0.5821017697839654,0.6352345984630222,4.962670492325148,1.9008412729008894,905
47,237200000.0,133,0.0934758130474642,32,0.5888406074676942,0.646399979297182,4.598575391473043,1.0404944592281862,742
48,247200000.0,116,0.08392300200109465,39,0.7055869842707587,0.5556047499936547,4.950222353647077,1.760672903083016,876
49,247200000.0,126,0.09153197996709654,37,0.6235252757636934,0.5105732113478479,4.976818485253295,2.356855031306134,792
50,242000000.0,66,0.09964039292532234,47,0.46178725308972457,0.6303217981695801,4.4614355785763555,1.4957335665561435,612
51,250400000.0,95,0.08636154468272922,54,0.5306673129350099,0.6930711512566998,4.707623902503076,1.8371610077841705,919
52,247200000.0,93,0.07755903438129207,57,0.5205705366527771,0.6887638227629185,4.619484004507324,1.8247513735144043,882
53,240400000.0,112,0.08412956693060009,50,0.3864348884743275,0.7327040516836765,4.372297759953289,2.18510285245934,921
54,243600000.0,76,0.07590622967705205,44,0.5843188503499368,0.6987788172212476,4.740970234112124,1.141417430460408,683
55,243200000.0,85,0.09018522355821212,54,0.521023684944135,0.754891764983003,4.99856493078858,2.606937832108167,538
56,243200000.0,138,0.06963216531624276,64,0.6731505699896565,0.4977780000864993,3.7513335631620537,1.601040785678608,747
57,246400000.0,97,0.08248305621213799,26,0.4704165031086197,0.628136832385166,4.172356928855176,1.922179349404618,860
58,247200000.0,121,0.09631872726042918,34,0.6241577706141342,0.7905624134899844,4.544898069034529,2.2680543151176984,582
59,244000000.0,109,0.08574103016482007,42,0.7209913635773741,0.5896724483738179,4.259537920716062,2.504078030051642,815
60,240800000.0,91,0.09264798966340039,69,0.543722683962209,0.7121300910826676,4.743892200160212,0.9017560189612261,464
61,250400000.0,105,0.08638339674743864,60,0.5429109020291671,0.8027946665187042,4.810848272530638,1.9725394851275526,921
62,244800000.0,115,0.08700059585226008,61,0.5045854238606993,0.8107569763661133,4.85592606361008,1.261268210891986,910
63,235200000.0,97,0.07075796134809391,51,0.41341964920442204,0.8418085874203682,4.476991865956172,2.8658777984556583,956
64,253600000.0,106,0.08214211875180885,55,0.5989081774656905,0.6683582300235529,4.6440545502598125,1.5754587141800762,948
65,243200000.0,124,0.07622467911627417,54,0.6112111926163093,0.6705313715036068,4.064919700809655,2.184906697674688,873
66,243600000.0,90,0.08057697794783426,68,0.5751960442707275,0.6432627233375952,4.62011751445884,1.705876768999757,782
67,247600000.0,101,0.09168472290203727,56,0.6460044654469739,0.6044659100586596,3.736844754661574,0.7093242226695341,958
68,244400000.0,83,0.07411156376716736,45,0.6766744860506656,0.7219793659064409,4.311124386248997,1.593238408466803,822
69,244400000.0,75,0.09712182374138158,51,0.4911075722120135,0.6784708634486649,3.906369175611638,2.364264837931505,761
70,256400000.0,108,0.08288647382014289,39,0.5976970300606285,0.7437366350208745,2.2579691328769735,1.842629693419063,896
71,247200000.0,109,0.08262337739679748,28,0.5935542881901462,0.746642049680565,2.062336652908387,1.8701279423153392,853
72,247600000.0,117,0.07945815689935726,38,0.6311099997843418,0.7666184827725484,2.211124695670156,2.094971059099291,891
73,249600000.0,113,0.09406092254850555,49,0.5638592389178622,0.655542197281322,1.5763601850523732,1.598106027884205,969
74,248800000.0,105,0.0905927443950277,42,0.6013510585763284,0.7052477015611204,2.4540693036783745,2.655662060578745,944
75,244400000.0,99,0.08467918978296247,62,0.5274287768624836,0.5703855755331558,1.659701406830604,2.2721468370568267,908
76,244800000.0,108,0.06759445964335066,57,0.569513664597911,0.7389798178789443,3.4588055191057205,1.3264992838227594,983
77,242800000.0,96,0.08916123887025386,53,0.45433546104953076,0.7775223663352627,2.8407462470890312,2.478816228194164,649
78,243600000.0,119,0.07276838048607497,35,0.6404754713296144,0.8585415968500437,2.284021923119406,1.8865258975910266,871
79,240800000.0,102,0.08127470085614961,66,0.6724468319610146,0.6158743805509546,1.0702768184370777,0.11818814343082118,841
80,249200000.0,89,0.06103026107949463,23,0.4860769028518627,0.6947196773385638,4.682421086701622,2.0482636486229415,384
81,252000000.0,106,0.08615787013431761,58,0.547074958177805,0.8101059030153502,4.8200459504467,1.9479800515509835,902
82,247200000.0,114,0.07755248189504933,57,0.611694307339273,0.8155363395088002,4.874887810845975,1.6758553791756903,889
83,246400000.0,111,0.08699074090005965,73,0.506840973156852,0.7258642788948696,4.5168127501502955,1.452098123932302,934
84,252800000.0,124,0.08373709735135976,48,0.5554090197762156,0.8929581030223758,4.8439329914526414,2.140856251373682,818
85,249200000.0,128,0.08410518769382377,40,0.5494195829056302,0.8883405997218413,4.858992126897367,2.1359716899156163,796
86,257200000.0,121,0.08944748172892189,47,0.5831901957235187,0.9395824062687965,4.4131882397060185,2.385519727758512,818
87,254800000.0,141,0.09315938296647239,47,0.5807634196994484,0.9266046819314608,4.392633864773746,2.4598305833378302,699
88,256000000.0,145,0.09330636958678677,47,0.5746923211641105,0.9511537420588454,0.0568813486157711,2.805306543522981,719
89,251600000.0,147,0.09744968502220568,47,0.573602152281113,0.9830660889820292,1.171024379624285,2.9598170220752196,713
90,256400000.0,141,0.09448861765276963,44,0.5899988630027917,0.939377286655827,0.07242598796843419,2.5907059843492553,734
91,254400000.0,141,0.09439231733281599,44,0.5866458604030259,0.9357015372857905,0.2840854295588122,2.7353085287093504,736
92,254800000.0,142,0.09469505719298785,45,0.587655194894686,0.9363328569720578,0.054347616229591666,2.739809059609831,689
93,252400000.0,140,0.09435473967601088,43,0.5914520092902322,0.9371770725738199,0.05609236185111694,2.8022142436045776,693
94,251600000.0,150,0.09908471823667855,35,0.6368819366333385,0.9614049098069691,0.3931569186182058,2.7029970160176044,730
95,249200000.0,138,0.09559070470839837,32,0.6099034295163899,0.9223250540098007,0.20863059231382633,3.221346888270514,680
96,247200000.0,142,0.0923447287214027,37,0.5770400698915016,0.9663351081541734,0.5701761305324582,3.040960433743939,771
97,244000000.0,145,0.09023852040488252,44,0.6225098774972075,0.9339980889662131,0.5407004695435836,2.473165373227433,737
98,254400000.0,136,0.08875271930800228,46,0.5935027850645297,0.9979818075536213,0.02981141647020585,2.5696200827307702,634
99,250800000.0,134,0.09992180672400681,40,0.5852066633624093,0.991705853803245,0.013214837213350344,2.599790149353064,646
